Price,Adj Close,Close,High,Low,Open,Volume
Ticker,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS
Date,,,,,,
2023-08-10 00:00:00+00:00,32806.390625,34800.0,35450.0,34800.0,34900.0,992061
2023-08-11 00:00:00+00:00,32806.390625,34800.0,35650.0,34750.0,34800.0,966885
2023-08-14 00:00:00+00:00,32947.79296875,34950.0,35150.0,34700.0,34800.0,610387
2023-08-16 00:00:00+00:00,32570.7109375,34550.0,34700.0,34400.0,34600.0,748667
2023-08-17 00:00:00+00:00,32759.25,34750.0,35050.0,34300.0,34300.0,857443
2023-08-18 00:00:00+00:00,32806.390625,34800.0,35300.0,34500.0,34500.0,938684
2023-08-21 00:00:00+00:00,33089.1953125,35100.0,35350.0,34900.0,35150.0,864600
2023-08-22 00:00:00+00:00,32947.79296875,34950.0,35200.0,34850.0,34950.0,712316
2023-08-23 00:00:00+00:00,33042.06640625,35050.0,35300.0,34800.0,34800.0,659929
2023-08-24 00:00:00+00:00,33042.06640625,35050.0,35350.0,35050.0,35050.0,558688
2023-08-25 00:00:00+00:00,33183.4765625,35200.0,35400.0,34850.0,34850.0,654534
2023-08-28 00:00:00+00:00,33513.421875,35550.0,35800.0,35350.0,35650.0,503942
2023-08-29 00:00:00+00:00,33560.55859375,35600.0,35800.0,35550.0,35550.0,482222
2023-08-30 00:00:00+00:00,33372.015625,35400.0,36050.0,35400.0,35950.0,560438
2023-08-31 00:00:00+00:00,33513.421875,35550.0,36000.0,35450.0,35750.0,1828015
2023-09-01 00:00:00+00:00,33419.14453125,35450.0,36000.0,35400.0,35900.0,535859
2023-09-04 00:00:00+00:00,33654.828125,35700.0,35750.0,35450.0,35750.0,389267
2023-09-05 00:00:00+00:00,33513.421875,35550.0,35900.0,35500.0,35550.0,415747
2023-09-06 00:00:00+00:00,33654.828125,35700.0,35950.0,35400.0,35500.0,618296
2023-09-07 00:00:00+00:00,33654.828125,35700.0,35850.0,35400.0,35400.0,507682
2023-09-08 00:00:00+00:00,33701.96484375,35750.0,35850.0,35500.0,35700.0,388661
2023-09-11 00:00:00+00:00,34361.859375,36450.0,36500.0,35750.0,35850.0,1091526
2023-09-12 00:00:00+00:00,33937.6484375,36000.0,36650.0,35650.0,36600.0,617219
2023-09-13 00:00:00+00:00,34644.6796875,36750.0,36750.0,35900.0,35900.0,1148345
2023-09-14 00:00:00+00:00,34550.40625,36650.0,37100.0,36450.0,37100.0,1083316
2023-09-15 00:00:00+00:00,35823.0703125,38000.0,38200.0,36700.0,36950.0,2449194
2023-09-18 00:00:00+00:00,35540.2578125,37700.0,38000.0,36850.0,37600.0,1212208
